"Id","StartDate","EnterpriseNumber"
"9.000.006.626",01-09-1995,"0257.883.408"
"9.000.008.210",01-01-1968,"0400.051.358"
"9.000.008.705",01-01-1968,"0400.067.095"
"9.000.009.594",01-01-1968,"0400.150.140"
"9.000.011.574",30-04-1963,"0400.291.680"
"9.000.012.168",01-01-1968,"0400.349.286"
"9.000.012.762",01-01-1966,"0400.372.943"
"9.000.012.861",01-01-1968,"0400.373.339"
"9.000.012.960",01-01-1968,"0400.377.891"
"9.000.013.158",01-01-1968,"0400.379.277"
"9.000.013.257",18-10-1967,"0400.380.762"
"9.000.013.653",01-01-1968,"0400.396.204"
"9.000.014.148",01-01-1968,"0400.416.889"
"9.000.014.247",01-01-1968,"0400.417.186"
"9.000.014.940",01-06-1948,"0400.427.084"
"9.000.015.039",01-01-1968,"0400.430.252"
"9.000.015.336",07-12-1921,"0400.441.437"
"9.000.016.128",01-01-1968,"0400.468.656"
"9.000.016.227",22-01-1966,"0400.469.745"
"9.000.016.326",01-01-1968,"0400.473.408"
"9.000.016.425",01-01-1968,"0400.475.188"
"9.000.016.623",01-01-1968,"0400.484.690"
"9.000.016.722",01-01-1968,"0400.484.789"
"9.000.017.415",28-04-1967,"0400.491.323"
"9.000.017.910",01-01-1968,"0400.496.073"
"9.000.018.009",01-10-1953,"0400.497.756"
"9.000.018.306",01-01-1968,"0400.499.043"
"9.000.018.405",12-01-1967,"0400.499.241"
"9.000.018.603",25-06-1966,"0400.500.726"
"9.000.019.195",01-01-1968,"0400.505.872"
"9.000.019.492",01-01-1968,"0400.509.535"
"9.000.019.888",15-01-1970,"0400.513.196"
"9.000.020.086",02-06-1965,"0400.520.720"
"9.000.020.482",01-01-1968,"0400.526.361"
"9.000.020.878",01-01-1968,"0400.535.962"
"9.000.020.977",01-01-1968,"0400.536.358"
"9.000.021.868",10-04-1967,"0400.600.793"
"9.000.022.660",01-01-1965,"0400.635.338"
"9.000.022.759",01-01-1968,"0400.638.209"
"9.000.023.353",01-01-1968,"0400.695.716"
"9.000.023.650",01-01-1968,"0400.717.391"
"9.000.023.947",01-01-1968,"0400.736.791"
"9.000.024.145",15-09-1967,"0400.740.355"
"9.000.024.244",01-01-1968,"0400.742.929"
"9.000.024.442",01-01-1968,"0400.773.811"
"9.000.024.640",01-01-1968,"0400.788.954"
"9.000.024.838",01-01-1968,"0400.797.763"
"9.000.025.630",01-01-1968,"0400.878.531"
"9.000.025.828",01-01-1968,"0400.880.808"
"9.000.025.927",16-04-1968,"0400.883.479"
"9.000.026.620",01-01-1968,"0400.901.889"
"9.000.027.115",01-01-1968,"0400.953.656"
"9.000.027.313",01-01-1968,"0400.974.145"
"9.000.027.709",01-01-1968,"0401.020.170"
"9.000.027.808",01-01-1968,"0401.025.615"
"9.000.028.006",01-01-1968,"0401.057.584"
"9.000.028.402",01-01-1968,"0401.073.224"
"9.000.029.093",01-01-1968,"0401.105.787"
"9.000.029.192",01-01-1968,"0401.110.638"
"9.000.029.588",01-01-1968,"0401.139.342"
"9.000.029.786",01-01-1968,"0401.147.755"
"9.000.029.885",15-12-1921,"0401.157.158"
"9.000.030.974",22-02-1925,"0401.247.230"
"9.000.031.172",01-01-1968,"0401.252.871"
"9.000.031.469",23-11-1971,"0401.257.920"
"9.000.031.667",01-01-1968,"0401.268.115"
"9.000.031.865",01-01-1968,"0401.273.360"
"9.000.032.063",05-09-1962,"0401.298.403"
"9.000.033.053",01-01-1968,"0401.321.563"
"9.000.033.449",01-01-1968,"0401.342.547"
"9.000.033.845",01-01-1968,"0401.360.660"
"9.000.035.231",01-01-1968,"0401.479.832"
"9.000.035.429",01-01-1968,"0401.511.209"
"9.000.037.805",01-01-1977,"0401.681.255"
"9.000.037.904",01-01-1977,"0401.681.354"
"9.000.038.201",01-01-1977,"0401.681.651"
"9.000.038.397",01-01-1980,"0401.689.272"
"9.000.039.387",01-01-1968,"0401.795.378"
"9.000.039.486",01-01-1968,"0401.798.150"
"9.000.039.783",01-01-1968,"0401.823.983"
"9.000.039.882",01-01-1968,"0401.824.082"
"9.000.040.278",01-01-1968,"0401.829.725"
"9.000.040.377",01-01-1968,"0401.829.824"
"9.000.040.674",01-01-1958,"0401.834.178"
"9.000.040.872",01-01-1965,"0401.837.247"
"9.000.040.971",10-07-1966,"0401.837.346"
"9.000.041.169",01-01-1968,"0401.844.373"
"9.000.041.268",01-01-1968,"0401.846.848"
"9.000.041.862",30-01-1974,"0401.874.265"
"9.000.041.961",01-06-1952,"0401.880.106"
"9.000.042.159",01-01-1968,"0401.888.519"
"9.000.042.456",01-01-1968,"0401.903.860"
"9.000.042.951",01-01-1968,"0401.929.002"
"9.000.043.050",25-10-1908,"0401.929.297"
"9.000.043.149",01-01-1968,"0401.936.425"
"9.000.043.248",01-01-1968,"0401.936.821"
"9.000.043.347",01-01-1968,"0401.937.712"
"9.000.043.446",01-01-1968,"0401.937.811"
"9.000.043.545",01-01-1968,"0401.940.977"
"9.000.043.644",01-01-1968,"0401.947.313"
"9.000.043.743",01-01-1968,"0401.956.914"
"9.000.043.842",01-01-1968,"0401.961.961"
"9.000.043.941",01-01-1968,"0401.970.671"
"9.000.044.139",01-01-1968,"0401.979.282"
"9.000.044.337",01-01-1968,"0401.981.361"
"9.000.044.436",01-01-1968,"0401.981.757"
"9.000.044.832",01-01-1968,"0401.995.021"
"9.000.044.931",01-01-1968,"0402.003.137"
"9.000.045.228",01-01-1947,"0402.013.134"
"9.000.045.723",24-06-1966,"0402.031.841"
"9.000.046.020",01-01-1968,"0402.034.811"
"9.000.046.812",01-01-1968,"0402.058.862"
"9.000.047.010",01-01-1968,"0402.076.381"
"9.000.047.208",01-01-1968,"0402.098.949"
"9.000.047.307",01-01-1968,"0402.105.976"
"9.000.047.703",01-01-1968,"0402.116.567"
"9.000.048.493",02-07-1956,"0402.146.063"
"9.000.048.592",01-01-1968,"0402.146.261"
"9.000.049.285",01-01-1968,"0402.179.717"
"9.000.049.483",01-01-1968,"0402.186.447"
"9.000.049.681",23-10-1959,"0402.203.768"
"9.000.050.473",01-01-1968,"0402.223.564"
"9.000.050.770",28-08-1955,"0402.226.237"
"9.000.050.968",01-01-1968,"0402.230.294"
"9.000.051.166",01-01-1968,"0402.233.264"
"9.000.051.661",12-01-1955,"0402.245.835"
"9.000.051.760",01-01-1921,"0402.246.726"
"9.000.052.552",01-01-1968,"0402.311.161"
"9.000.053.542",01-01-1968,"0402.432.610"
"9.000.053.938",01-01-1962,"0402.477.546"
"9.000.054.037",01-01-1968,"0402.481.308"
"9.000.054.334",02-08-1913,"0402.489.820"
"9.000.055.225",01-01-1957,"0402.548.614"
"9.000.055.621",05-06-1969,"0402.584.642"
"9.000.056.314",01-03-1914,"0402.612.059"
"9.000.056.413",01-01-1958,"0402.615.128"
"9.000.056.512",01-01-1968,"0402.615.227"
"9.000.056.611",01-01-1968,"0402.615.326"
"9.000.056.710",01-01-1968,"0402.615.425"
"9.000.056.809",01-01-1968,"0402.615.524"
"9.000.057.205",01-01-1968,"0402.635.617"
"9.000.057.502",01-01-1968,"0402.653.334"
"9.000.058.193",01-01-1968,"0402.679.662"
"9.000.058.391",01-01-1968,"0402.681.246"
"9.000.058.589",01-01-1968,"0402.683.424"
"9.000.058.688",01-01-1968,"0402.684.315"
"9.000.058.886",01-01-1968,"0402.687.877"
"9.000.059.579",01-01-1968,"0402.712.326"
"9.000.059.876",01-01-1968,"0402.721.135"
"9.000.061.460",25-06-1948,"0402.790.223"
"9.000.061.559",20-10-1965,"0402.791.510"
"9.000.061.856",01-01-1968,"0402.798.240"
"9.000.061.955",01-01-1968,"0402.798.834"
"9.000.062.153",01-01-1968,"0402.812.393"
"9.000.062.351",01-01-1968,"0402.821.697"
"9.000.062.549",01-01-1968,"0402.824.667"
"9.000.062.846",16-09-1964,"0402.830.112"
"9.000.063.242",22-04-1900,"0402.861.190"
"9.000.063.440",01-01-1968,"0402.865.843"
"9.000.063.836",01-01-1968,"0402.869.407"
"9.000.064.034",01-01-1968,"0402.873.365"
"9.000.064.232",10-05-1940,"0402.885.144"
"9.000.064.826",30-10-2009,"0402.895.636"
"9.000.065.222",01-01-1968,"0402.901.970"
"9.000.065.420",01-01-1968,"0402.906.722"
"9.000.065.519",01-01-1968,"0402.906.821"
"9.000.065.717",01-01-1968,"0402.916.224"
"9.000.066.410",01-01-1968,"0402.928.892"
"9.000.066.608",30-11-1966,"0402.930.773"
"9.000.066.707",01-01-1968,"0402.932.555"
"9.000.067.004",02-09-1966,"0402.940.671"
"9.000.067.103",01-01-1968,"0402.942.750"
"9.000.067.301",01-01-1968,"0402.949.084"
"9.000.067.497",25-04-1968,"0402.955.618"
"9.000.067.794",01-01-1968,"0402.961.556"
"9.000.067.992",01-01-1968,"0402.965.714"
"9.000.068.289",05-08-1966,"0402.972.840"
"9.000.068.388",12-06-1965,"0402.978.481"
"9.000.068.982",23-01-1968,"0402.995.309"
"9.000.069.873",27-03-1968,"0403.039.552"
"9.000.069.972",05-12-1960,"0403.049.648"
"9.000.070.071",01-01-1952,"0403.053.410"
"9.000.070.368",01-01-1968,"0403.059.348"
"9.000.070.467",06-01-1966,"0403.060.239"
"9.000.070.764",17-09-1960,"0403.067.959"
"9.000.071.160",01-01-1968,"0403.078.550"
"9.000.071.655",01-01-1968,"0403.083.203"
"9.000.071.754",01-01-1961,"0403.087.755"
"9.000.072.150",01-01-1967,"0403.093.792"
"9.000.072.348",01-01-1968,"0403.094.980"
"9.000.072.843",01-01-1958,"0403.108.541"
"9.000.073.140",18-07-1963,"0403.114.677"
"9.000.073.437",10-12-1968,"0403.122.201"
"9.000.073.833",01-01-1968,"0403.129.228"
