Category,Code,Language,Description
ActivityGroup,001,FR,Activités TVA
ActivityGroup,002,FR,Activités EDRL
ActivityGroup,003,FR,Activités
ActivityGroup,004,FR,Activités de la fonction publique fédérale
ActivityGroup,005,FR,Activités ONSSAPL
ActivityGroup,006,FR,Activités ONSS
ActivityGroup,007,FR,Activités de l'enseignement subventionné
Classification,ANCI,FR,Activité auxiliaire
Classification,MAIN,FR,Activité principale
Classification,SECO,FR,Activité secondaire
ContactType,EMAIL,FR,Adresse e-mail
ContactType,TEL,FR,Numéro de téléphone
ContactType,WEB,FR,Adresse web
EntityContact,BRA,FR,Succursale
EntityContact,ENT,FR,Entreprise
EntityContact,EST,FR,Unité d'établissement
JuridicalForm,001,FR,Société coopérative européenne
JuridicalForm,002,FR,Organisme de financement de pensions
JuridicalForm,003,FR,Unité TVA
JuridicalForm,006,FR,Société coopérative à responsabilité illimitée
JuridicalForm,007,FR,"Société coopérative à responsabilité illimitée et solidaire, société coopérative de participation"
JuridicalForm,008,FR,Société coopérative à responsabilité limitée
JuridicalForm,009,FR,"Société coopérative à responsabilité limitée, coopérative de participation"
JuridicalForm,010,FR,Société privée à responsabilité limitée unipersonnelle
JuridicalForm,011,FR,Société en nom collectif
JuridicalForm,012,FR,Société en commandite simple
JuridicalForm,013,FR,Société en commandite par actions
JuridicalForm,014,FR,Société anonyme
JuridicalForm,015,FR,Société privée à responsabilité limitée
JuridicalForm,016,FR,Société coopérative (ancien statut)
JuridicalForm,017,FR,Association sans but lucratif
JuridicalForm,018,FR,Etablissement d'utilité publique
JuridicalForm,019,FR,Mutualité / Société Mutualiste / Union nationale de mutualités
JuridicalForm,020,FR,Union professionnelle
JuridicalForm,021,FR,Association d'assurances mutuelles / Caisse commune d'assurances de droit privé
JuridicalForm,022,FR,Organisation scientifique internationale de droit belge
JuridicalForm,023,FR,Association étrangère privée avec établissement en Belgique
JuridicalForm,025,FR,Société agricole
JuridicalForm,026,FR,Fondation privée
JuridicalForm,027,FR,Société européenne (Societas Europaea)
JuridicalForm,028,FR,Institution sans but lucratif
JuridicalForm,029,FR,Fondation d'utilité publique
JuridicalForm,030,FR,Entité étrangère
JuridicalForm,040,FR,Société congolaise (loi de 1927)
JuridicalForm,051,FR,Autre forme de droit privé avec personnalité juridique
JuridicalForm,060,FR,Groupement d'intérêt économique
JuridicalForm,065,FR,Groupement européen d'intérêt économique
JuridicalForm,070,FR,Association des copropriétaires
JuridicalForm,106,FR,Société coopérative à responsabilité illimitée de droit public
JuridicalForm,107,FR,"Coopérative à responsabilité illimitée, coopérative de participation, de droit public"
JuridicalForm,108,FR,Société coopérative à responsabilité limitée de droit public
